"","X","LUH_orginal","ProductionItem","FAOItemCode","MAGsho","kcr","LUH2MAg","LUH2kcr","Cropgroup"
"1",1,"c3ann","122|Sweet potatoes","122","c3a","cassav_sp","c3ann.MAGc3a","c3ann.cassav_sp","Tropical roots"
"2",2,"c3ann","125|Cassava, fresh","125","c3a","cassav_sp","c3ann.MAGc3a","c3ann.cassav_sp","Tropical roots"
"3",3,"c3ann","135|Yautia","135","c3a","cassav_sp","c3ann.MAGc3a","c3ann.cassav_sp","Tropical roots"
"4",4,"c3ann","136|Taro","136","c3a","cassav_sp","c3ann.MAGc3a","c3ann.cassav_sp","Tropical roots"
"5",5,"c3ann","137|Yams","137","c3a","cassav_sp","c3ann.MAGc3a","c3ann.cassav_sp","Tropical roots"
"6",6,"c3ann","149|Edible roots and tubers with high starch or inulin content, nec, fresh","149","c3a","cassav_sp","c3ann.MAGc3a","c3ann.cassav_sp","Tropical roots"
"7",7,"c3ann","328|Seed cotton, unginned","328","c3a","cottn_pro","c3ann.MAGc3a","c3ann.cottn_pro","Cotton seed"
"8",8,"c3ann","638|Forage and silage, rye grass","638","c3a","foddr","c3ann.MAGc3a","c3ann.foddr","Forage"
"9",9,"c3ann","639|Forage and silage, grasses nes","639","c3a","foddr","c3ann.MAGc3a","c3ann.foddr","Forage"
"10",10,"c3ann","642|Forage and silage, green oilseeds","642","c3a","foddr","c3ann.MAGc3a","c3ann.foddr","Forage"
"11",11,"c3ann","644|Cabbage for fodder","644","c3a","foddr","c3ann.MAGc3a","c3ann.foddr","Forage"
"12",12,"c3ann","645|Pumpkins for Fodder","645","c3a","foddr","c3ann.MAGc3a","c3ann.foddr","Forage"
"13",13,"c3ann","646|Turnips for fodder","646","c3a","foddr","c3ann.MAGc3a","c3ann.foddr","Forage"
"14",14,"c3ann","647|Beets for fodder","647","c3a","foddr","c3ann.MAGc3a","c3ann.foddr","Forage"
"15",15,"c3ann","648|Carrots for fodder","648","c3a","foddr","c3ann.MAGc3a","c3ann.foddr","Forage"
"16",16,"c3ann","649|Swedes for fodder","649","c3a","foddr","c3ann.MAGc3a","c3ann.foddr","Forage"
"17",17,"c3ann","651|Forage products","651","c3a","foddr","c3ann.MAGc3a","c3ann.foddr","Forage"
"18",18,"c3ann","655|Vegetables and roots fodder","655","c3a","foddr","c3ann.MAGc3a","c3ann.foddr","Forage"
"19",19,"c3ann","358|Cabbages","358","c3a","others","c3ann.MAGc3a","c3ann.others","Fruits Vegetables Nuts"
"20",20,"c3ann","366|Artichokes","366","c3a","others","c3ann.MAGc3a","c3ann.others","Fruits Vegetables Nuts"
"21",21,"c3ann","367|Asparagus","367","c3a","others","c3ann.MAGc3a","c3ann.others","Fruits Vegetables Nuts"
"22",22,"c3ann","372|Lettuce and chicory","372","c3a","others","c3ann.MAGc3a","c3ann.others","Fruits Vegetables Nuts"
"23",23,"c3ann","373|Spinach","373","c3a","others","c3ann.MAGc3a","c3ann.others","Fruits Vegetables Nuts"
"24",24,"c3ann","378|Cassava leaves","378","c3a","others","c3ann.MAGc3a","c3ann.others","Fruits Vegetables Nuts"
"25",25,"c3ann","388|Tomatoes","388","c3a","others","c3ann.MAGc3a","c3ann.others","Fruits Vegetables Nuts"
"26",26,"c3ann","393|Cauliflowers and broccoli","393","c3a","others","c3ann.MAGc3a","c3ann.others","Fruits Vegetables Nuts"
"27",27,"c3ann","394|Pumpkins, squash and gourds","394","c3a","others","c3ann.MAGc3a","c3ann.others","Fruits Vegetables Nuts"
